Employee_ID,First Name,Last Name,Gender,State,City,Education Level,Birthdate,Hiredate,Termdate,Department,Job Title,Salary,Performance Rating
00-97971488,Jeffrey,Nguyen,Female,Maharashtra,Pune,Master,10/05/1976,25/10/2020,07/08/2022,HR,HR Coordinator,66289,Excellent
00-29175900,Kimberly,Perez,Female,Maharashtra,Nagpur,High School,22/08/1999,13/01/2017,17/05/2022,Customer Service,Help Desk Technician,56656,Excellent
00-85345555,Linda,Morales,Male,Maharashtra,Mumbai,Bachelor,31/01/1981,26/01/2020,24/07/2020,Sales,Sales Representative,65569,Satisfactory
00-67503414,Jason,Hahn,Male,Maharashtra,Nagpur,Master,28/03/1978,07/12/2023,04/06/2024,Sales,Sales Consultant,63698,Good
00-39436733,Jennifer,Lewis,Male,Maharashtra,Mumbai,High School,23/11/1993,12/07/2024,08/01/2025,Operations,Inventory Specialist,55371,Good
00-76238574,Randall,Rocha,Male,Maharashtra,Pune,Bachelor,18/01/1998,27/06/2016,20/01/2018,Sales,Sales Representative,77511,Good
00-24716857,Douglas,Taylor,Female,Maharashtra,Nagpur,Bachelor,09/12/1975,17/10/2017,07/05/2022,Marketing,Marketing Coordinator,61498,Good
00-66661351,Anna,Baker,Male,Maharashtra,Pune,Bachelor,31/03/1983,15/08/2020,22/04/2022,IT,Software Developer,89258,Good
00-89978790,Ross,Silva,Female,Maharashtra,Mumbai,Bachelor,01/05/2001,20/05/2024,16/11/2024,IT,Software Developer,78677,Good
00-84252722,Jeffrey,Bright,Male,Andhra Pradesh,Visakhapatnam,Master,24/01/1977,17/07/2023,13/01/2024,Operations,Operations Analyst,86342,Satisfactory
00-25374874,Trevor,Campos,Male,Maharashtra,Mumbai,Master,01/07/1983,01/12/2022,30/05/2023,Operations,Operations Analyst,54365,Excellent
00-45812670,Daniel,Burton,Male,Maharashtra,Mumbai,Bachelor,20/11/1995,04/11/2022,03/05/2023,IT,Software Developer,88631,Good
00-49392920,Erin,Carlson,Male,Maharashtra,Pune,High School,07/06/1988,30/05/2019,13/11/2024,Customer Service,Help Desk Technician,84400,Satisfactory
00-45351479,Patrick,Ferrell,Male,Andhra Pradesh,Tirupati,Bachelor,15/12/1979,24/07/2024,20/01/2025,Finance,Accountant,78640,Good
00-24282218,John,Tran,Female,Maharashtra,Nagpur,Bachelor,16/05/1985,05/01/2023,04/07/2023,Sales,Sales Consultant,67121,Satisfactory
00-95758349,Erin,Wilson,Female,Andhra Pradesh,Vijayawada,Bachelor,30/12/1997,09/12/2020,07/06/2021,Customer Service,Customer Service Representative,60448,Good
00-60185867,Amanda,Adams,Male,Delhi,New Delhi,Bachelor,24/07/1999,06/09/2022,05/03/2023,Marketing,Content Creator,65402,Needs Improvement
00-81182864,Matthew,Carter,Male,Andhra Pradesh,Vijayawada,Bachelor,02/05/1974,02/03/2024,29/08/2024,IT,System Administrator,76637,Good
00-75579548,Shawn,Mckay,Female,Maharashtra,Mumbai,Bachelor,14/07/1994,07/12/2015,17/03/2017,Sales,Sales Representative,54320,Good
00-51273847,Jennifer,Stanton,Male,Maharashtra,Pune,Master,28/11/1981,23/10/2017,21/04/2018,IT,System Administrator,90602,Good
00-20570592,Guy,Gaines,Female,Uttar Pradesh,Varanasi,Bachelor,23/06/2004,04/12/2016,29/12/2021,Customer Service,Customer Service Representative,51934,Good
00-19289546,Colleen,Skinner,Female,Andhra Pradesh,Visakhapatnam,Bachelor,14/10/1980,16/07/2024,12/01/2025,Operations,Inventory Specialist,65508,Good
00-26879290,Chelsea,Hernandez,Male,Maharashtra,Nagpur,High School,12/09/2001,23/10/2016,26/05/2021,Operations,Inventory Specialist,57289,Satisfactory
00-32162965,Evan,Ashley,Female,Maharashtra,Nagpur,High School,01/06/1978,25/12/2017,05/02/2021,HR,Recruiter,65502,Good
00-38427073,Alyssa,Smith,Female,Tamil Nadu,Coimbatore,Master,05/02/1987,05/05/2024,01/11/2024,Sales,Sales Manager,111362,Satisfactory
00-36998038,Tracy,Rodriguez,Female,Maharashtra,Nagpur,High School,25/10/1985,21/05/2022,17/11/2022,Customer Service,Help Desk Technician,67679,Excellent
00-97225156,Natasha,Decker,Male,Andhra Pradesh,Vijayawada,Bachelor,01/09/1988,30/04/2018,11/01/2022,Customer Service,Support Specialist,60825,Satisfactory
00-26240908,John,Allen,Male,Andhra Pradesh,Visakhapatnam,High School,29/01/2004,09/08/2017,01/04/2020,Operations,Inventory Specialist,55163,Satisfactory
00-12823170,Stacey,Miller,Female,Maharashtra,Nagpur,High School,28/04/1976,07/07/2020,03/01/2021,Customer Service,Support Specialist,59371,Needs Improvement
00-39557077,Lisa,Spence,Male,Maharashtra,Pune,Bachelor,24/12/1989,26/07/2015,08/09/2021,Customer Service,Support Specialist,67003,Satisfactory
00-17901903,Katie,Anderson,Female,Maharashtra,Nagpur,High School,21/02/1988,04/07/2017,12/08/2021,HR,Recruiter,53528,Good
00-54349361,Stacey,Martin,Female,West Bengal,Siliguri,High School,22/09/1996,23/07/2016,23/01/2022,Customer Service,Help Desk Technician,81790,Satisfactory
00-99788677,Monique,Henderson,Female,Maharashtra,Pune,Bachelor,03/08/1983,24/03/2019,05/09/2021,Marketing,Marketing Coordinator,76887,Satisfactory
00-86644106,Sarah,Campos,Male,West Bengal,Durgapur,PhD,28/10/1980,24/09/2020,23/03/2021,Finance,Financial Analyst,96487,Good
00-73481353,James,Collins,Male,Gujarat,Surat,High School,03/09/1994,18/09/2023,16/03/2024,Customer Service,Customer Service Representative,58945,Good
00-23009833,Debra,Kim,Male,Maharashtra,Nagpur,Bachelor,04/08/1965,21/07/2022,15/12/2024,Sales,Sales Representative,81739,Needs Improvement
00-65177213,Shannon,Wright,Male,Maharashtra,Pune,Bachelor,28/05/1977,25/01/2019,24/07/2019,Marketing,Content Creator,64503,Satisfactory
00-97705310,Matthew,Chapman,Male,Maharashtra,Mumbai,Bachelor,08/07/1965,30/03/2024,26/09/2024,Operations,Logistics Coordinator,71864,Needs Improvement
00-64038913,Brianna,Smith,Female,Maharashtra,Nagpur,High School,21/06/1982,02/10/2022,31/03/2023,Customer Service,Customer Service Representative,65105,Good
00-35714784,Crystal,Perez,Male,Maharashtra,Mumbai,Master,14/10/1982,18/12/2017,19/07/2020,Sales,Sales Specialist,79089,Good
00-66623995,Anthony,Rivera,Male,Maharashtra,Mumbai,High School,29/04/2004,19/07/2017,02/06/2024,Customer Service,Help Desk Technician,81032,Excellent
00-20117988,John,Caldwell,Female,Maharashtra,Pune,Bachelor,09/04/1974,25/03/2019,23/09/2023,Operations,Logistics Coordinator,57224,Good
00-16789850,Amber,Cummings,Male,Maharashtra,Nagpur,Bachelor,02/02/1979,09/12/2022,07/06/2023,Sales,Sales Representative,82505,Good
00-11980765,Ashley,Kennedy,Female,Maharashtra,Pune,Bachelor,25/02/1960,31/10/2024,29/04/2025,Operations,Inventory Specialist,62066,Good
00-64547971,Thomas,Russell,Male,Maharashtra,Mumbai,PhD,04/01/1984,06/02/2019,25/08/2023,Sales,Sales Consultant,90425,Good
00-63826716,Collin,Jordan,Female,Maharashtra,Mumbai,Bachelor,20/06/1986,14/06/2023,11/12/2023,Sales,Sales Representative,72654,Good
00-10289289,Robert,Shields,Female,West Bengal,Durgapur,Master,26/05/1996,22/01/2024,20/07/2024,IT,Software Developer,102587,Good
00-71070189,Emily,Joyce,Male,Tamil Nadu,Chennai,Bachelor,20/09/2001,08/02/2017,07/08/2017,Sales,Sales Representative,62939,Good
00-84593961,Bruce,Chandler,Male,Maharashtra,Pune,PhD,11/12/1976,07/11/2022,06/05/2023,Finance,Financial Analyst,94956,Satisfactory
00-35487660,Michelle,Wright,Male,Maharashtra,Nagpur,Bachelor,05/06/1980,15/03/2017,14/04/2019,Sales,Sales Representative,79260,Satisfactory
00-82772208,Amanda,Taylor,Female,Andhra Pradesh,Tirupati,Bachelor,06/07/1965,12/03/2016,23/09/2017,Customer Service,Customer Service Representative,65244,Good
00-16729990,Joshua,Wright,Male,Maharashtra,Mumbai,Bachelor,28/11/1986,24/12/2020,22/06/2021,Sales,Sales Representative,70304,Good
00-81286543,Charles,Morton,Female,Andhra Pradesh,Tirupati,Bachelor,13/03/1998,29/11/2017,01/05/2021,Operations,Inventory Specialist,55587,Good
00-34941004,Andrea,Williams,Female,Maharashtra,Nagpur,Bachelor,15/04/1994,28/07/2016,24/01/2017,IT,IT Support Specialist,58941,Excellent
00-41568532,Mary,Novak,Female,Maharashtra,Nagpur,Bachelor,07/08/1990,26/12/2019,07/08/2021,Operations,Inventory Specialist,55251,Satisfactory
00-87701200,Karen,Young,Female,Maharashtra,Pune,High School,25/08/1971,06/06/2020,03/12/2020,Operations,Inventory Specialist,55647,Satisfactory
00-66267415,Todd,Lewis,Male,Maharashtra,Pune,Bachelor,30/07/1991,05/06/2022,14/05/2024,Sales,Sales Representative,61804,Good
00-52462441,Rachel,Martin,Male,Maharashtra,Mumbai,Bachelor,14/08/1970,01/01/2024,29/06/2024,Operations,Operations Analyst,86374,Needs Improvement
00-52169044,Tricia,Baker,Female,Maharashtra,Pune,PhD,05/08/1966,01/11/2017,21/04/2021,Sales,Sales Consultant,93153,Good
00-96637649,Kristen,Mitchell,Female,Maharashtra,Nagpur,Bachelor,14/01/1986,28/09/2017,14/06/2021,Sales,Sales Representative,66940,Good
00-19736572,Susan,Cowan,Male,Maharashtra,Mumbai,Bachelor,06/08/1991,04/08/2015,16/08/2024,Operations,Operations Manager,110499,Good
00-23419256,Dorothy,Tucker,Female,Maharashtra,Pune,Bachelor,10/07/1997,14/03/2016,02/12/2021,Operations,Operations Analyst,78130,Satisfactory
00-45594597,Kenneth,Novak,Male,Maharashtra,Nagpur,Bachelor,29/10/1990,13/08/2017,10/07/2023,Sales,Sales Specialist,71038,Satisfactory
00-42787299,Jill,Brown,Male,Maharashtra,Nagpur,Bachelor,27/12/1970,02/05/2018,19/05/2021,IT,IT Support Specialist,71111,Satisfactory
00-82909480,Brian,Silva,Male,Maharashtra,Nagpur,High School,16/06/1995,15/07/2022,11/01/2023,Operations,Inventory Specialist,62252,Good
00-97775215,Samantha,Schmidt,Female,Maharashtra,Nagpur,Bachelor,03/06/1961,23/01/2020,21/07/2020,IT,Software Developer,94541,Satisfactory
00-84437458,Susan,Miller,Male,Andhra Pradesh,Visakhapatnam,Bachelor,04/07/2003,14/03/2017,28/09/2021,Operations,Inventory Specialist,70082,Satisfactory
00-28024248,Casey,Jones,Female,Maharashtra,Nagpur,Bachelor,17/10/1981,01/12/2017,30/10/2022,Operations,Logistics Coordinator,63766,Satisfactory
00-84252420,Joe,Wilson,Female,Maharashtra,Mumbai,High School,07/01/2001,12/12/2017,18/04/2021,Marketing,Content Creator,54966,Satisfactory
00-38270233,Ashley,Riley,Male,Maharashtra,Pune,PhD,15/09/1970,16/01/2022,15/07/2022,Sales,Sales Specialist,64895,Satisfactory
00-95125977,Christine,Barnes,Male,Maharashtra,Nagpur,Bachelor,19/09/1985,15/08/2023,11/02/2024,IT,IT Support Specialist,69887,Good
00-43704923,Annette,Stewart,Male,Maharashtra,Pune,High School,08/12/1983,12/04/2023,09/10/2023,Operations,Inventory Specialist,65764,Good
00-95132217,James,Moran,Female,West Bengal,Kolkata,Master,21/04/1972,03/04/2019,09/12/2023,IT,Software Developer,93744,Satisfactory
00-10475894,Joseph,Anderson,Male,Maharashtra,Mumbai,High School,17/02/1988,08/09/2018,07/03/2019,Operations,Inventory Specialist,55841,Good
00-45159040,Kevin,Stewart,Female,Gujarat,Surat,Bachelor,09/04/1996,19/10/2017,18/12/2022,Customer Service,Customer Service Representative,54401,Satisfactory
00-67403166,Shari,Smith,Female,Maharashtra,Mumbai,Bachelor,20/06/1995,29/08/2020,25/02/2021,Operations,Inventory Specialist,58957,Satisfactory
00-30005727,Yolanda,Ferrell,Female,Gujarat,Vadodara,Bachelor,02/10/1963,29/01/2020,29/07/2021,Operations,Inventory Specialist,60486,Good
00-84158663,Amanda,Wagner,Female,Andhra Pradesh,Vijayawada,High School,09/02/1998,21/02/2017,20/08/2017,Customer Service,Help Desk Technician,62628,Satisfactory
00-51373735,Sarah,Ibarra,Female,Maharashtra,Pune,High School,30/06/2002,08/12/2018,06/04/2022,Customer Service,Customer Service Representative,57841,Excellent
00-38195995,John,Mitchell,Male,Andhra Pradesh,Tirupati,Bachelor,28/09/1971,20/06/2022,27/08/2024,Marketing,Content Creator,73425,Good
00-57469942,Martha,Warner,Female,Maharashtra,Mumbai,Bachelor,10/03/1995,26/08/2023,22/02/2024,Customer Service,Customer Service Representative,52787,Good
00-30743797,Tonya,Roman,Male,Maharashtra,Pune,Master,29/12/2001,24/07/2024,20/01/2025,IT,System Administrator,69171,Good
00-31810617,Alan,Montoya,Female,Maharashtra,Pune,Bachelor,15/01/2000,26/04/2024,23/10/2024,Customer Service,Customer Service Manager,64789,Needs Improvement
00-13326769,Sarah,Garcia,Female,Maharashtra,Pune,Bachelor,14/03/1995,08/12/2017,29/08/2021,Sales,Sales Representative,68020,Good
00-65259205,Dennis,Wilson,Male,Maharashtra,Mumbai,Bachelor,13/12/1994,11/02/2023,10/08/2023,Sales,Sales Representative,63835,Satisfactory
00-43308443,Julia,Moore,Male,Andhra Pradesh,Vijayawada,Bachelor,05/09/1976,20/04/2017,10/08/2019,IT,Software Developer,92738,Good
00-61343880,Cassandra,Robbins,Male,Maharashtra,Nagpur,Bachelor,28/01/1977,21/03/2023,17/09/2023,Marketing,SEO Specialist,69731,Satisfactory
00-36786211,Grace,Farrell,Male,Maharashtra,Pune,Bachelor,28/12/1980,16/07/2023,12/01/2024,Operations,Logistics Coordinator,69401,Satisfactory
00-50962024,Tracy,Whitehead,Male,Maharashtra,Mumbai,Bachelor,23/02/1990,25/11/2023,03/09/2024,IT,Software Developer,96879,Good
00-13176186,Brent,Walters,Male,Andhra Pradesh,Vijayawada,Bachelor,26/02/1965,19/11/2022,18/05/2023,Sales,Sales Representative,82294,Satisfactory
00-47393469,Joshua,Smith,Female,Maharashtra,Nagpur,Bachelor,26/11/1991,27/10/2023,24/04/2024,Finance,Financial Analyst,92944,Good
00-96098221,David,Whitney,Female,Maharashtra,Mumbai,Bachelor,28/10/1980,03/03/2020,25/12/2021,Marketing,SEO Specialist,82609,Good
00-81969657,Joyce,Arnold,Female,Maharashtra,Mumbai,Bachelor,23/12/1998,16/06/2018,04/10/2024,Marketing,Content Creator,60573,Excellent
00-45059710,Ann,Rodriguez,Male,Maharashtra,Nagpur,Bachelor,05/04/1979,09/12/2017,14/12/2024,Sales,Sales Representative,80614,Satisfactory
00-24549543,Hannah,Hernandez,Male,Maharashtra,Nagpur,PhD,22/08/1992,14/01/2020,12/07/2020,Sales,Sales Specialist,74011,Satisfactory
00-52101056,Mary,Aguilar,Male,Maharashtra,Pune,Bachelor,16/06/1972,27/02/2019,26/08/2019,Customer Service,Help Desk Technician,78093,Satisfactory
00-61700055,Russell,Williams,Male,Tamil Nadu,Madurai,High School,23/01/1977,22/05/2023,18/11/2023,Customer Service,Customer Service Representative,62179,Excellent
00-15957459,Rachel,Flynn,Male,Maharashtra,Mumbai,Master,13/01/2002,01/12/2022,03/04/2024,IT,System Administrator,88852,Satisfactory
00-82269803,Bill,Howard,Male,Maharashtra,Nagpur,Bachelor,08/05/2001,22/09/2022,03/05/2023,Operations,Inventory Specialist,64352,Good
00-36445607,John,Garcia,Female,Maharashtra,Pune,Master,26/07/1966,30/10/2018,24/07/2022,Sales,Sales Consultant,106391,Good
00-54318698,Anita,Baxter,Female,West Bengal,Kolkata,High School,08/12/1989,30/08/2021,26/02/2022,Customer Service,Help Desk Technician,76769,Needs Improvement
00-26726926,Kara,Frost,Male,Tamil Nadu,Madurai,Master,05/09/2001,02/04/2022,29/09/2022,Sales,Sales Manager,110392,Good
00-51511484,Michelle,Cherry,Female,Maharashtra,Pune,Bachelor,07/05/1983,11/11/2022,10/05/2023,Sales,Sales Consultant,71023,Good
00-49682169,Gregory,Gutierrez,Male,Maharashtra,Pune,Bachelor,04/10/1976,10/03/2020,06/09/2020,Customer Service,Customer Service Representative,73036,Satisfactory
00-99245317,Jill,Cook,Male,Andhra Pradesh,Visakhapatnam,High School,08/11/1990,27/12/2024,25/06/2025,IT,IT Support Specialist,58351,Good
00-33357554,Robert,Santiago,Male,Maharashtra,Mumbai,Master,12/07/1994,13/10/2021,06/04/2024,Sales,Sales Consultant,69654,Good
00-83542887,Lisa,Adams,Female,Maharashtra,Pune,Bachelor,05/01/1964,02/11/2023,30/04/2024,Operations,Inventory Specialist,69704,Needs Improvement
00-38210242,Jacqueline,Reyes,Female,West Bengal,Kolkata,Bachelor,28/12/1977,16/01/2019,25/08/2022,Finance,Accountant,63660,Good
00-97873101,Michele,Walker,Male,Maharashtra,Nagpur,Bachelor,19/02/1981,14/11/2018,10/05/2022,IT,Software Developer,95344,Good
00-38682516,Samantha,Bailey,Female,Maharashtra,Nagpur,Bachelor,07/11/1968,14/11/2020,05/07/2024,Customer Service,Support Specialist,65286,Good
00-98429450,Laura,Perez,Female,Andhra Pradesh,Visakhapatnam,Bachelor,31/08/2004,10/01/2016,02/11/2020,Marketing,Content Creator,56193,Satisfactory
00-94951883,Donna,Ross,Female,Uttar Pradesh,Lucknow,Bachelor,15/09/1994,19/04/2021,16/10/2021,Sales,Sales Representative,62152,Satisfactory
00-41523529,Michelle,Rasmussen,Female,Andhra Pradesh,Vijayawada,PhD,25/01/1982,19/04/2022,16/10/2022,Sales,Sales Specialist,73394,Good
00-36726767,Michael,Hicks,Female,Maharashtra,Pune,Bachelor,13/04/1979,21/09/2017,23/09/2024,Customer Service,Customer Service Representative,58534,Good
00-73771720,Tina,Herrera,Male,Maharashtra,Pune,Bachelor,05/08/1985,11/01/2021,10/07/2021,Sales,Sales Consultant,98428,Good
00-65625330,Darrell,Waller,Female,Maharashtra,Nagpur,Bachelor,26/01/1981,11/03/2023,07/09/2023,Marketing,Marketing Coordinator,53769,Satisfactory
00-61536717,Beverly,Terrell,Female,Uttar Pradesh,Lucknow,Bachelor,10/04/1983,15/01/2020,13/07/2020,Sales,Sales Representative,58283,Good
00-98054615,Daniel,Hamilton,Female,Maharashtra,Pune,Master,26/05/1980,10/10/2022,08/04/2023,IT,System Administrator,74882,Excellent
00-67062156,Kristin,Graham,Female,West Bengal,Kolkata,Master,08/03/1994,18/07/2017,17/04/2021,Sales,Sales Consultant,87985,Satisfactory
00-72350830,Darrell,Lam,Female,Maharashtra,Pune,Bachelor,11/11/1990,14/03/2016,08/05/2017,Customer Service,Customer Service Representative,58045,Good
00-26288475,Jonathan,Fletcher,Female,Maharashtra,Nagpur,Bachelor,26/10/1976,01/01/2019,12/09/2020,Customer Service,Help Desk Technician,80181,Good
00-81287314,April,Drake,Male,Maharashtra,Pune,Bachelor,30/10/2003,23/09/2024,22/03/2025,Operations,Inventory Specialist,64182,Good
00-69401199,Jennifer,Harmon,Female,Maharashtra,Nagpur,High School,29/04/1978,18/09/2021,14/09/2022,Operations,Inventory Specialist,64807,Satisfactory
00-67276174,James,Reynolds,Male,Maharashtra,Nagpur,Master,17/12/1980,15/09/2023,13/03/2024,IT,Software Developer,105956,Satisfactory
00-31361812,Samantha,Hanson,Male,Tamil Nadu,Chennai,Bachelor,10/08/1981,15/09/2022,14/03/2023,Marketing,Marketing Coordinator,74047,Good
00-44788100,Melanie,Cortez,Male,Gujarat,Surat,Bachelor,04/09/1995,27/04/2022,20/06/2024,Sales,Sales Representative,63050,Satisfactory
00-79967676,William,Estrada,Male,Maharashtra,Nagpur,Bachelor,25/11/1973,07/05/2019,22/12/2023,Finance,Accountant,73893,Satisfactory
00-69038700,Richard,Phillips,Female,Maharashtra,Mumbai,High School,13/11/2001,19/02/2016,16/09/2022,Marketing,Content Creator,52940,Good
00-46468984,James,Ortega,Female,Maharashtra,Pune,Bachelor,25/05/1983,28/05/2018,06/01/2020,Customer Service,Support Specialist,57011,Satisfactory
00-28572252,Erica,Orr,Female,Maharashtra,Mumbai,High School,29/10/1988,28/08/2017,24/02/2018,Customer Service,Help Desk Technician,83766,Good
00-30509175,Ashley,Sullivan,Male,Maharashtra,Nagpur,Bachelor,25/04/1997,20/11/2022,19/05/2023,Sales,Sales Representative,70964,Good
00-64707061,Aaron,Mitchell,Male,Tamil Nadu,Chennai,Bachelor,24/08/1996,16/06/2018,13/12/2018,Operations,Logistics Coordinator,59385,Excellent
00-18357162,Kristi,Lawson,Male,Maharashtra,Mumbai,High School,25/03/1976,06/05/2017,23/01/2024,Customer Service,Help Desk Technician,66776,Good
00-88393811,Steven,Ramos,Male,Maharashtra,Pune,Master,24/10/2000,23/03/2024,19/09/2024,IT,System Administrator,84019,Satisfactory
00-87267850,William,Leon,Male,Gujarat,Ahmedabad,Bachelor,29/08/1997,06/11/2018,27/07/2019,Finance,Accounts Payable Specialist,64281,Good
00-50079111,Jill,Hopkins,Female,Maharashtra,Nagpur,Bachelor,12/05/1993,21/04/2022,25/11/2023,Finance,Accountant,82557,Satisfactory
00-83300637,Zachary,Schultz,Male,Maharashtra,Nagpur,Bachelor,19/05/2001,11/05/2023,07/11/2023,Customer Service,Help Desk Technician,61693,Excellent
00-39450273,Clarence,Crane,Female,Maharashtra,Nagpur,High School,17/02/1994,02/04/2017,01/03/2020,Operations,Inventory Specialist,58377,Needs Improvement
00-62191530,Emily,Walker,Female,Maharashtra,Pune,Bachelor,04/09/1992,19/03/2018,16/01/2021,Operations,Inventory Specialist,52433,Excellent
00-64266464,Dylan,Williams,Male,Maharashtra,Mumbai,Bachelor,22/10/1996,04/07/2022,31/12/2022,Sales,Sales Representative,82705,Good
00-93517915,Cheryl,Mack,Male,Maharashtra,Nagpur,High School,07/11/1972,25/06/2020,17/05/2021,Operations,Inventory Specialist,66455,Good
00-85751409,Robert,Soto,Female,Andhra Pradesh,Tirupati,Bachelor,08/03/1979,17/03/2022,13/09/2022,Operations,Inventory Specialist,62419,Good
00-67527432,Jennifer,Cruz,Male,Maharashtra,Mumbai,Bachelor,30/04/1989,05/06/2017,02/12/2017,Marketing,Marketing Coordinator,72866,Good
00-16749089,John,Douglas,Female,Maharashtra,Pune,PhD,17/07/1970,03/01/2017,19/01/2024,Finance,Financial Analyst,108917,Needs Improvement
00-71028710,Patricia,Dalton,Female,Maharashtra,Pune,High School,30/11/1974,10/12/2018,08/06/2019,IT,IT Support Specialist,59764,Satisfactory
00-66581473,Daniel,Coleman,Female,Maharashtra,Mumbai,Bachelor,25/08/1988,10/03/2017,28/09/2018,Operations,Operations Analyst,70944,Excellent
00-12601580,Linda,Dominguez,Female,Andhra Pradesh,Visakhapatnam,Bachelor,29/10/2000,30/06/2022,27/12/2022,IT,Software Developer,96450,Satisfactory
00-40094589,Brent,Wright,Male,Maharashtra,Nagpur,Master,07/02/2002,26/11/2022,25/05/2023,IT,System Administrator,63255,Good
00-14164775,David,Anderson,Female,Maharashtra,Pune,Bachelor,09/06/1974,29/06/2024,26/12/2024,Operations,Operations Analyst,71360,Satisfactory
00-12735359,Elizabeth,Travis,Female,Maharashtra,Mumbai,High School,20/04/1977,20/08/2021,16/02/2022,Customer Service,Customer Service Representative,57913,Satisfactory
00-73560289,Logan,Fischer,Female,Maharashtra,Pune,Bachelor,19/05/1991,21/06/2022,18/12/2022,Operations,Logistics Coordinator,60257,Satisfactory
00-72415804,Cheyenne,Ball,Female,Maharashtra,Nagpur,High School,10/07/1971,16/07/2022,12/01/2023,Customer Service,Support Specialist,63601,Satisfactory
00-91321540,Ronald,Meadows,Male,Maharashtra,Nagpur,Bachelor,10/03/1982,23/06/2021,20/12/2021,Operations,Logistics Coordinator,62689,Satisfactory
00-25372341,Phyllis,Manning,Female,Maharashtra,Mumbai,Bachelor,25/08/1979,04/07/2023,31/12/2023,Operations,Inventory Specialist,54978,Satisfactory
